ref,transcription,orthography,translation,translation_ru
pʰ,pʰa,па,son,сын
p’,p’aj,пIай,dirt,грязь
b,ba,ба,you (2sgf),ты
f,faˈɾa,фара́,to eat,есть
v,,,,
m,ma,ма,here you are (giving something),на
w,wa,уа,you (2sgm),ты
tʰ,ˈtʰaba,та́ба,frying pan,сковородка
t’,ˈt’at’a,тIа́тIа,soft,мягкий
d,da,да,tendon,жила
ts,tsa,ца,barn,амбар
ts’,ts’a,цIа,louse,вошь
dz,dza,дза,rib,ребро
s,sa,са,I,я
z  ,ˈʕʷaza,гIва́за,twins,двойня
n,naˈʕa,нагIа́,slope,наклон
ɾ,baˈɾa,бара́,you (2sgf),ты
tŝ(ʷ),tŝa / tŝʷa,чва,skin,кожа
tŝ’(ʷ),tŝ’a / tŝ’ʷa,чIва,apple,яблоко
dẑ(ʷ),dẑaˈɾa / dẑʷaˈɾa,джвара́,vomiting,рвота
ŝ(ʷ),ŝa / ŝʷa,шва,you (2pl),вы
ẑ(ʷ),aˈẑa / aˈẑʷa,ажва́,word,слово
tʂ,ˈtʂaba,тша́ба,gelding,мерин
tʂ’,tʂ’a,шIа,mouth,рот
dʐ,ˈpʰadʐa,па́джа,firstborn,первенец
ʂ,ʂaˈba,шаба́,dried-up,высохший
ʐ  ,ˈʐac’a,жа́кIьа,beard,борода
tɕ,tɕaˈɾa,чара́,to eat,кушать
tɕ’,ˈtɕ’atɕ’a,чIа́чIа,kidney,почка
dʑ,ˈdʑadʑa,джьа́джьа,curly,кудрявый
ɕ,ɕa,ща,blood,кровь
ʑ,ʑaˈɾa,жьара́,to deceive,обманывать
l,la,ла,dog,собака
lʲ,lʲaˈɡʲan,льагьан,basin,тазик
cʰ,ˈmacʰa,ма́кьа,grindstone,точильный камень
c’,ˈc’ana,кIьа́на,lump,кусок
ɟ,ˈɟaba,гьа́ба,(body) side,бок
ç,ˈçapʰad,тлапа́д,stocking,чулок
j,jaˈɾa,йара́,he (3sgm),он
kʰ,kʰətʰ,кыт,village,деревня
k’,k’aˈɾa,кIара́,something,что-нибудь
ɡ ,ˈɡaɾa,га́ра,cradle,колыбель
kʰʷ,kʰʷa,ква,rain,дождь
k’ʷ,k’ʷa,кIва,bosom,пазуха
ɡʷ ,ɡʷaˈban,гваба́н,mattress,матрас
xʷ,ˈxʷatʰa,хва́та,rug,плед
qʰ,qʰa,хъа,head,голова
q’,q’aˈla,къала́,town,город
χ,χaˈɾa,хара́,to give a present,подарить
ʁ,ˈʁaʁa,гъа́гъа,"broad, wide",широкий
q’ʲ,ˈq’ʲaɾa,къьара́,to wave,махать
χʲ,χʲaˈɾa,хьара́,to give birth,рожать
ʁʲ,ʁʲaˈsa,гъьаса́,nutwood,ореховое дерево
qʰʷ,qʰʷa,хъва,ashes,зола
q’ʷ,q’ʷaˈɾa,къвара́,to stay too long,задерживаться
χʷ,χʷa,хва,mountain,гора
ʁʷ,tŝʷaˈʁʷa,чвагъва́,ploughed up,вспаханный
ħ,ħa,хIа,we,мы
ʕ,aˈʕa,агIа́,raw leather,сыромятная кожа
ħʷ,ħʷa,хIва,pig,свинья
ʕʷ,ʕʷa,гIва,dry,сухой
ʔ,aˈʔaɕa,аъа́ща,situation,ситуация
